Dia;Estación;Hora;Temperatura (°C);Humedad (%);Presión (hPa);Dir viento (°N);Dir viento;Velocidad de viento (m/s);CO (mg/m3);NO (ug/m3);NO2 (ug/m3);NOX (ug/m3);O3 (ug/m3);PM10 (ug/m3)
11/02/22;Verano;05:00 p. m.;23,2;45;928,35;164,71;SSE;0,82;0;34,27;15,7;68,25;31,03;
11/02/22;Verano;06:00 p. m.;23,1;46;928,35;175,46;SSE;0,77;0,01;7,22;29,67;40,74;45,19;
11/02/22;Verano;07:00 p. m.;22,8;49;928,81;142,92;SSE;0,63;0;7,72;34,67;46,51;46,34;0
11/02/22;Verano;08:00 p. m.;21,6;55;929,9;195,02;SSW;1,03;0;8,98;37,02;50,79;42,41;12
11/02/22;Verano;09:00 p. m.;18,1;84;931,55;207,74;SSW;0,48;0,01;9,43;34,58;49,03;45,71;60
11/02/22;Verano;10:00 p. m.;16,8;92;933,01;198,82;SSW;0,39;0;13,05;37,64;57,65;61,49;23
11/02/22;Verano;11:00 p. m.;16,9;87;933,56;184,08;SSW;0,32;0;13,06;28,97;49;72,02;13
12/02/22;Verano;12:00 a. m.;17,2;88;933,83;215,12;SSW;0,46;0;13,77;28,49;49,61;79,82;15,5
12/02/22;Verano;01:00 a. m.;17,6;88;933,83;212,34;SSW;0,56;0;14,63;29,85;52,28;78,88;0
12/02/22;Verano;02:00 a. m.;17,2;83;934,02;218,66;SSW;0,93;0,02;12,94;22,58;42,43;66,75;7
12/02/22;Verano;03:00 a. m.;17;83;933,74;220,27;SSW;0,86;0;9,84;16,91;31,99;53,15;0
12/02/22;Verano;04:00 a. m.;15,8;80;934,29;210,82;SSW;0,89;0;8,98;15,38;29,15;44,02;3
12/02/22;Verano;05:00 a. m.;15,1;79;934,29;205,24;SSW;0,95;0;8,37;15,26;28,09;37,44;8,5
12/02/22;Verano;06:00 a. m.;14,8;79;934,57;196,53;SSW;0,83;0;9,07;16,47;30,39;37,67;3
12/02/22;Verano;07:00 a. m.;15,5;65;934,66;203,52;SSW;0,61;0;10,26;18,94;34,67;38,75;0
12/02/22;Verano;08:00 a. m.;15,3;62;935,39;208,8;SSW;0,66;0,02;12,03;21,2;39,65;39,37;0
12/02/22;Verano;09:00 a. m.;15,8;57;935,84;189,18;SSW;0,66;0,16;14,03;21;42,52;37,61;0,5
12/02/22;Verano;10:00 a. m.;16,2;49;935,84;193,55;SSW;0,7;0;14,25;20,44;42,29;38,63;4
12/02/22;Verano;11:00 a. m.;17,8;48;935,11;161,47;SSE;0,7;0;12,99;20,65;40,57;39,24;11,5
12/02/22;Verano;12:00 p. m.;19,4;41;934,11;180,28;SSW;1;0,07;11,96;20,53;38,87;36,91;9
12/02/22;Verano;01:00 p. m.;21;35;933,19;205,88;SSW;0,92;0,02;11,33;22,73;40,11;33,04;9
12/02/22;Verano;02:00 p. m.;22;27;932,19;169,19;SSE;0,8;0,1;9,47;21,36;35,87;30,84;14
12/02/22;Verano;03:00 p. m.;23;25;931,18;203,45;SSW;0,72;0;7,92;19,36;31,51;31,93;13
12/02/22;Verano;04:00 p. m.;24;25;929,72;173,02;SSE;0,76;0,13;7,35;18,96;30,23;31,59;6
12/02/22;Verano;05:00 p. m.;24,2;26;929,08;201,38;SSW;0,64;0,25;8,19;21,2;33,75;31,58;16,5
12/02/22;Verano;06:00 p. m.;24,8;30;928,72;169,74;SSE;0,51;0,31;8,14;21,52;34;32,53;24
12/02/22;Verano;07:00 p. m.;24,4;30;928,17;191,46;SSW;0,31;0,31;9,4;28,91;43,33;33,73;14
12/02/22;Verano;08:00 p. m.;23,4;36;928,17;234,7;WSW;0,14;0,42;16,47;48,84;74,1;34,28;23,5
12/02/22;Verano;09:00 p. m.;22,1;44;928,35;160,87;SSE;0,16;0,57;40,94;65,57;128,35;34,57;35
12/02/22;Verano;10:00 p. m.;19,9;50;929,08;221,67;SSW;0,16;1,19;56,98;65,72;153,1;35,67;54,5
12/02/22;Verano;11:00 p. m.;19,2;54;929,08;237,45;WSW;0,21;1,57;60,93;59,51;152,93;36,76;84
13/02/22;Verano;12:00 a. m.;18,3;59;929,08;162,49;SSE;0,31;1,52;42,49;49,65;114,8;36,5;65
13/02/22;Verano;01:00 a. m.;17,9;46;929,26;192,93;SSW;0,14;1,38;35,31;54,21;108,36;35,59;49,5
13/02/22;Verano;02:00 a. m.;15,9;55;928,99;231,34;WSW;0,2;1,16;28,07;50,45;93,49;34,19;38
13/02/22;Verano;03:00 a. m.;15,5;53;928,08;204,13;SSW;0,29;0,95;18,75;39,6;68,35;32,41;32
13/02/22;Verano;04:00 a. m.;15,3;53;927,34;210,97;SSW;0,19;0,69;13,41;26,8;47,35;31,09;19,5
13/02/22;Verano;05:00 a. m.;13,9;64;926,61;262,72;WSW;0,17;0,6;12,22;25,51;44,25;29,68;13
13/02/22;Verano;06:00 a. m.;13,6;69;926,16;192,63;SSW;0,22;0,58;13,42;29,62;50,2;28,48;17,5
13/02/22;Verano;07:00 a. m.;12,6;74;926,43;214,68;SSW;0,2;0,62;13,3;30,48;50,87;27,78;10,5
13/02/22;Verano;08:00 a. m.;14,9;54;926,7;130,6;ESE;0,23;0,53;13,73;27,66;48,71;28,01;10
13/02/22;Verano;09:00 a. m.;17,7;57;926,52;114,74;ESE;0,38;0,53;14,12;25,98;47,63;30,87;0
13/02/22;Verano;10:00 a. m.;20,1;49;926,43;137,92;SSE;0,62;0,47;13,32;25,95;46,38;34,74;15
13/02/22;Verano;11:00 a. m.;21,9;41;926,06;154,17;SSE;0,65;0,45;10,44;25,67;41,68;36,74;17,5
13/02/22;Verano;12:00 p. m.;23,2;35;925,7;170,68;SSE;0,73;0,4;7,27;23,04;34,18;35,98;21
13/02/22;Verano;01:00 p. m.;24,8;30;924,6;181,39;SSW;0,7;0,34;5,35;19,4;27,61;33,46;24
13/02/22;Verano;02:00 p. m.;26,6;31;923,87;178,55;SSE;0,82;0,28;4,7;17,96;25,16;31,35;20,5
13/02/22;Verano;03:00 p. m.;28,5;26;922,5;170,88;SSE;0,78;0,29;4,13;16,6;22,93;30,09;17
13/02/22;Verano;04:00 p. m.;28,7;24;921,49;164,6;SSE;0,88;0,18;4,19;16,61;23,03;30,15;12,5
13/02/22;Verano;05:00 p. m.;29,9;25;920,49;146,64;SSE;0,73;0,39;4,27;16,77;23,32;30,2;15
