.metric,Random Forest,Logistic Regression
accuracy,0.8649885583524027,0.8009153318077803
kap,0.6497588806629084,0.43357518511345183
sens,0.9363057324840764,0.945859872611465
spec,0.6829268292682927,0.43089430894308944
ppv,0.882882882882883,0.8092643051771117
npv,0.8076923076923077,0.7571428571428572
mcc,0.6539316817088049,0.46194833787610656
j_index,0.6192325617523693,0.37675418155455453
bal_accuracy,0.8096162808761846,0.6883770907772773
detection_prevalence,0.7620137299771167,0.8398169336384439
precision,0.8828828828828829,0.8092643051771117
recall,0.9363057324840764,0.945859872611465
f_meas,0.9088098918083463,0.8722466960352423
roc_auc,0.9302729014551292,0.8497747397856145
