.metric,Random Forest,Logistic Regression
accuracy,0.8394160583941606,0.916058394160584
kap,0.5970857562997126,0.796249595861623
sens,0.917098445595855,0.9481865284974094
spec,0.654320987654321,0.8395061728395061
ppv,0.8634146341463415,0.9336734693877551
npv,0.7681159420289857,0.8717948717948718
mcc,0.6007236002674294,0.7965309369431345
j_index,0.5714194332501759,0.7876927013369155
bal_accuracy,0.7857097166250879,0.8938463506684577
detection_prevalence,0.7481751824817519,0.7153284671532847
precision,0.8634146341463415,0.9336734693877551
recall,0.917098445595855,0.9481865284974094
f_meas,0.8894472361809045,0.9408740359897172
